,geometry,Node,pointgeo,x,y,osmid,IsCentroid
16,POINT (105.6064126335756 20.27554542397149),21,POINT (105.6064126335756 20.27554542397149),105.606412634,20.275545424,16,0
17,POINT (105.608291297353 20.14754283569102),23,POINT (105.608291297353 20.14754283569102),105.608291297,20.1475428357,17,0
18,POINT (105.6099000585791 20.14338203144949),27,POINT (105.6099000585791 20.14338203144949),105.609900059,20.1433820314,18,0
19,POINT (105.6212299049046 20.14914686536897),30,POINT (105.6212299049046 20.14914686536897),105.621229905,20.1491468654,19,1
20,POINT (105.6084398063023 20.11503661543643),24,POINT (105.6084398063023 20.11503661543643),105.608439806,20.1150366154,20,0
21,POINT (105.6171838345911 20.11753991631128),25,POINT (105.6171838345911 20.11753991631128),105.617183835,20.1175399163,21,1
22,POINT (105.6113600959203 20.13486601909929),32,POINT (105.6113600959203 20.13486601909929),105.611360096,20.1348660191,22,1
23,POINT (105.6109903403772 20.13722023563039),29,POINT (105.6109903403772 20.13722023563039),105.61099034,20.1372202356,23,0
24,POINT (105.6233085866371 20.11476801822495),36,POINT (105.6233085866371 20.11476801822495),105.623308587,20.1147680182,24,0
25,POINT (105.6219919230117 20.10956477420535),38,POINT (105.6219919230117 20.10956477420535),105.621991923,20.1095647742,25,0
26,POINT (105.6253467810161 20.11082428025733),39,POINT (105.6253467810161 20.11082428025733),105.625346781,20.1108242803,26,0
27,POINT (105.6221219487426 20.10953482447672),41,POINT (105.6221219487426 20.10953482447672),105.622121949,20.1095348245,27,0
28,POINT (105.630744728372 20.10657681822944),42,POINT (105.630744728372 20.10657681822944),105.630744728,20.1065768182,28,0
29,POINT (105.6444688403633 20.11663911555328),49,POINT (105.6444688403633 20.11663911555328),105.64446884,20.1166391156,29,1
30,POINT (105.6471843330147 20.12333377956623),51,POINT (105.6471843330147 20.12333377956623),105.647184333,20.1233337796,30,0
31,POINT (105.6480038243224 20.12413219484666),65,POINT (105.6480038243224 20.12413219484666),105.648003824,20.1241321948,31,0
32,POINT (105.663060930011 20.12762026119198),66,POINT (105.663060930011 20.12762026119198),105.66306093,20.1276202612,32,0
33,POINT (105.6614600259276 20.16281735925211),69,POINT (105.6614600259276 20.16281735925211),105.661460026,20.1628173593,33,0
34,POINT (105.6705233711727 20.17658836616635),89,POINT (105.6705233711727 20.17658836616635),105.670523371,20.1765883662,34,0
35,POINT (105.6480356944886 20.12424797683485),60,POINT (105.6480356944886 20.12424797683485),105.648035694,20.1242479768,35,0
36,POINT (105.6475973720375 20.12421213625728),64,POINT (105.6475973720375 20.12421213625728),105.647597372,20.1242121363,36,0
