,geometry,Node,pointgeo,x,y,osmid,IsCentroid
38,POINT (105.5697419103955 20.03229677701003),62,POINT (105.5697419103955 20.03229677701003),105.56974191,20.032296777,38,0
39,POINT (105.5688300721376 20.00993461914734),61,POINT (105.5688300721376 20.00993461914734),105.568830072,20.0099346191,39,0
40,POINT (105.5725397185789 19.99113081321034),63,POINT (105.5725397185789 19.99113081321034),105.572539719,19.9911308132,40,0
41,POINT (105.5699456426836 20.03203540248699),66,POINT (105.5699456426836 20.03203540248699),105.569945643,20.0320354025,41,0
42,POINT (105.5752353198673 20.01239010658517),74,POINT (105.5752353198673 20.01239010658517),105.57523532,20.0123901066,42,0
43,POINT (105.5775247150623 20.01296504855328),84,POINT (105.5775247150623 20.01296504855328),105.577524715,20.0129650486,43,0
44,POINT (105.5874759308991 19.99253820640676),72,POINT (105.5874759308991 19.99253820640676),105.587475931,19.9925382064,44,1
45,POINT (105.5755229043631 20.0086529669222),78,POINT (105.5755229043631 20.0086529669222),105.575522904,20.0086529669,45,0
46,POINT (105.5769934832326 20.0092099455555),86,POINT (105.5769934832326 20.0092099455555),105.576993483,20.0092099456,46,0
47,POINT (105.5729183502759 20.01178453991831),77,POINT (105.5729183502759 20.01178453991831),105.57291835,20.0117845399,47,0
48,POINT (105.5776432520754 20.01310417336045),94,POINT (105.5776432520754 20.01310417336045),105.577643252,20.0131041734,48,0
49,POINT (105.5899217086084 19.97223678741432),95,POINT (105.5899217086084 19.97223678741432),105.589921709,19.9722367874,49,0
50,POINT (105.5954405035243 19.97464016851277),115,POINT (105.5954405035243 19.97464016851277),105.595440504,19.9746401685,50,0
51,POINT (105.5829332234809 20.02604917412997),97,POINT (105.5829332234809 20.02604917412997),105.582933223,20.0260491741,51,0
52,POINT (105.5833856760597 20.02338184348052),98,POINT (105.5833856760597 20.02338184348052),105.583385676,20.0233818435,52,0
53,POINT (105.5893427293794 20.01611530881269),106,POINT (105.5893427293794 20.01611530881269),105.589342729,20.0161153088,53,0
54,POINT (105.5857109711003 20.02424134995595),100,POINT (105.5857109711003 20.02424134995595),105.585710971,20.02424135,54,0
55,POINT (105.5875899026003 19.99256369692341),101,POINT (105.5875899026003 19.99256369692341),105.587589903,19.9925636969,55,0
56,POINT (105.5885516141075 20.01064804167669),103,POINT (105.5885516141075 20.01064804167669),105.588551614,20.0106480417,56,0
57,POINT (105.5901684564313 19.99287631054212),104,POINT (105.5901684564313 19.99287631054212),105.590168456,19.9928763105,57,0
58,POINT (105.591033801858 19.97468221823172),110,POINT (105.591033801858 19.97468221823172),105.591033802,19.9746822182,58,0
59,POINT (105.5893456229443 20.01612568159467),108,POINT (105.5893456229443 20.01612568159467),105.589345623,20.0161256816,59,1
60,POINT (105.5894738137993 20.02413020843717),109,POINT (105.5894738137993 20.02413020843717),105.589473814,20.0241302084,60,0
61,POINT (105.5931378570127 19.98456957068258),112,POINT (105.5931378570127 19.98456957068258),105.593137857,19.9845695707,61,0
62,POINT (105.5928343206461 20.0225596472671),113,POINT (105.5928343206461 20.0225596472671),105.592834321,20.0225596473,62,0
63,POINT (105.5949196000581 20.0203052774843),114,POINT (105.5949196000581 20.0203052774843),105.5949196,20.0203052775,63,0
64,POINT (105.5979691652995 19.96796394467233),123,POINT (105.5979691652995 19.96796394467233),105.597969165,19.9679639447,64,1
65,POINT (105.5962968572645 19.96834264946786),117,POINT (105.5962968572645 19.96834264946786),105.596296857,19.9683426495,65,0
66,POINT (105.5967348746271 20.02182289289),118,POINT (105.5967348746271 20.02182289289),105.596734875,20.0218228929,66,0
67,POINT (105.6051649490964 20.01979388364998),119,POINT (105.6051649490964 20.01979388364998),105.605164949,20.0197938836,67,0
68,POINT (105.5973539536062 20.02188718536401),122,POINT (105.5973539536062 20.02188718536401),105.597353954,20.0218871854,68,0
69,POINT (105.6252997461098 19.95789822605382),125,POINT (105.6252997461098 19.95789822605382),105.625299746,19.9578982261,69,1
70,POINT (105.5985644679517 19.97490843889432),127,POINT (105.5985644679517 19.97490843889432),105.598564468,19.9749084389,70,0
71,POINT (105.6004670319494 19.98182825283602),130,POINT (105.6004670319494 19.98182825283602),105.600467032,19.9818282528,71,0
72,POINT (105.5995808494018 20.01923147071615),128,POINT (105.5995808494018 20.01923147071615),105.599580849,20.0192314707,72,0
73,POINT (105.6026494906975 20.01617978988152),136,POINT (105.6026494906975 20.01617978988152),105.602649491,20.0161797899,73,0
74,POINT (105.603684347123 20.01725732018443),137,POINT (105.603684347123 20.01725732018443),105.603684347,20.0172573202,74,0
75,POINT (105.6026778699551 20.015987048895),133,POINT (105.6026778699551 20.015987048895),105.60267787,20.0159870489,75,0
76,POINT (105.6076942398265 20.01242204589668),141,POINT (105.6076942398265 20.01242204589668),105.60769424,20.0124220459,76,0
77,POINT (105.601409954541 19.98130055423792),132,POINT (105.601409954541 19.98130055423792),105.601409955,19.9813005542,77,1
78,POINT (105.6365129888777 19.99187112247381),153,POINT (105.6365129888777 19.99187112247381),105.636512989,19.9918711225,78,0
79,POINT (105.6528036088474 19.97039754662264),158,POINT (105.6528036088474 19.97039754662264),105.652803609,19.9703975466,79,0
80,POINT (105.6098217637759 20.01773314332939),139,POINT (105.6098217637759 20.01773314332939),105.609821764,20.0177331433,80,0
81,POINT (105.6085906337261 20.01463258191109),145,POINT (105.6085906337261 20.01463258191109),105.608590634,20.0146325819,81,0
82,POINT (105.6294391911164 20.00865586147824),149,POINT (105.6294391911164 20.00865586147824),105.629439191,20.0086558615,82,0
83,POINT (105.6085738214868 20.01467412003658),144,POINT (105.6085738214868 20.01467412003658),105.608573821,20.01467412,83,0
84,POINT (105.607706983949 20.01237640895748),143,POINT (105.607706983949 20.01237640895748),105.607706984,20.012376409,84,1
85,POINT (105.6293803824398 20.00853192179477),146,POINT (105.6293803824398 20.00853192179477),105.629380382,20.0085319218,85,0
86,POINT (105.6464403141446 19.9622901619251),151,POINT (105.6464403141446 19.9622901619251),105.646440314,19.9622901619,86,0
87,POINT (105.6570238370257 19.99339036267754),155,POINT (105.6570238370257 19.99339036267754),105.657023837,19.9933903627,87,0
88,POINT (105.6577426006772 19.98480500743594),163,POINT (105.6577426006772 19.98480500743594),105.657742601,19.9848050074,88,0
89,POINT (105.6445702589443 19.99720200495078),161,POINT (105.6445702589443 19.99720200495078),105.644570259,19.997202005,89,0
90,POINT (105.6488005361687 19.96459605685194),165,POINT (105.6488005361687 19.96459605685194),105.648800536,19.9645960569,90,0
91,POINT (105.6528476796682 19.97040536913771),166,POINT (105.6528476796682 19.97040536913771),105.65284768,19.9704053691,91,1
92,POINT (105.6740286179224 19.99226673169725),168,POINT (105.6740286179224 19.99226673169725),105.674028618,19.9922667317,92,0
93,POINT (105.6578175822426 19.98484934610337),167,POINT (105.6578175822426 19.98484934610337),105.657817582,19.9848493461,93,0
94,POINT (105.661708406259 19.98483436456964),172,POINT (105.661708406259 19.98483436456964),105.661708406,19.9848343646,94,0
95,POINT (105.6581197148775 19.96653746853371),171,POINT (105.6581197148775 19.96653746853371),105.658119715,19.9665374685,95,0
96,POINT (105.6634660337773 19.96136812065313),174,POINT (105.6634660337773 19.96136812065313),105.663466034,19.9613681207,96,0
97,POINT (105.6809778123958 19.99018840114759),183,POINT (105.6809778123958 19.99018840114759),105.680977812,19.9901884011,97,0
98,POINT (105.6645694949369 19.95648873473426),175,POINT (105.6645694949369 19.95648873473426),105.664569495,19.9564887347,98,1
99,POINT (105.6648412814222 19.96173241792123),176,POINT (105.6648412814222 19.96173241792123),105.664841281,19.9617324179,99,0
100,POINT (105.6661813152822 19.96086186555111),177,POINT (105.6661813152822 19.96086186555111),105.666181315,19.9608618656,100,0
101,POINT (105.6907664867354 19.95964844763201),199,POINT (105.6907664867354 19.95964844763201),105.690766487,19.9596484476,101,0
102,POINT (105.6712259323411 19.9924594391858),178,POINT (105.6712259323411 19.9924594391858),105.671225932,19.9924594392,102,0
103,POINT (105.6717749800281 19.99586930873931),179,POINT (105.6717749800281 19.99586930873931),105.67177498,19.9958693087,103,0
104,POINT (105.6746385795591 19.9925340905614),181,POINT (105.6746385795591 19.9925340905614),105.67463858,19.9925340906,104,0
105,POINT (105.6766951241114 19.9949668761492),185,POINT (105.6766951241114 19.9949668761492),105.676695124,19.9949668761,105,0
106,POINT (105.6815035641755 19.99965587655391),186,POINT (105.6815035641755 19.99965587655391),105.681503564,19.9996558766,106,0
107,POINT (105.6854064832865 19.99805204036673),193,POINT (105.6854064832865 19.99805204036673),105.685406483,19.9980520404,107,0
108,POINT (105.6868840159575 20.00113285582162),198,POINT (105.6868840159575 20.00113285582162),105.686884016,20.0011328558,108,0
109,POINT (105.6770912402622 19.99510424324948),189,POINT (105.6770912402622 19.99510424324948),105.67709124,19.9951042432,109,0
110,POINT (105.6909800390398 19.9593593320845),190,POINT (105.6909800390398 19.9593593320845),105.690980039,19.9593593321,110,1
111,POINT (105.6830369237005 19.98875255130693),195,POINT (105.6830369237005 19.98875255130693),105.683036924,19.9887525513,111,0
